JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2458619.56422,14.67,,,SI,NRNA,,000-BNC-522,,X224429EG,,0,,Z,14.06,,,SN 2019EIN,AAVSO,STD,,,,
2458619.57832,14.04,,,SR,NRNA,,000-BNC-522,,X224429EG,,0,,Z,14.06,,,SN 2019EIN,AAVSO,STD,,,,
2458620.38472,13.8,0.1,,CV,BJMC,,,,from Guide9,,0,,Z,14.0,,,SN 2019EIN,AAVSO,STD,10,,,
2458620.83481,14.02,0.02,,V,BLP,,143,147,X24419EG,,0,1.2,Z,14.323,14.56,,SN 2019ein,MCSE,STD,,,,
2458621.41181,14.1,,,Vis.,TYS,K,133,143,X24423KK,"""VISUAL FROM SLOOH DIGITAL IMAGE, TRI-G. MAGS FROM WIKISKY.""",,,Z,,,,SN 2019EIN,AAVSO,STD,,,,
2458623.35796,14.032,0.029,,V,ATE,,143,146,X24429EG,,0,1.069,Z,,14.541,2458623.36040,SN 2019EIN,AAVSO,STD,,,,
2458623.41919,13.956,0.083,,V,RZD,,ENSEMBLE,,X24429SY,,0,1.036,Z,,,,SN 2019EIN,AAVSO,STD,,,,
2458623.42708,13.6,,,Vis.,OJR,,141,,X244299,,,,Z,,,,SN 2019EIN,ROEVM,STD,,,,
2458623.87207,13.991,0.012,,R,HBB,,000-BNC-522,000-BNC-523,X24429XS,BOXED X 3  ERR = STOM(MAG),0,2.46,Z,14.031,14.190,,SN 2019EIN,,STD,,,,
2458623.87293,14.329,0.013,,I,HBB,,000-BNC-522,000-BNC-523,X24429XS,BOXED X 3  ERR = STOM(MAG),0,2.48,Z,14.47,14.549,,SN 2019EIN,,STD,,,,
2458623.87490,14.060,0.023,,V,HBB,,000-BNC-522,000-BNC-523,X24429XS,BOXED X 3  ERR = STOM(MAG),0,2.54,Z,14.721,14.993,,SN 2019EIN,,STD,,,,
2458623.87573,14.360,0.003,,B,HBB,,000-BNC-522,000-BNC-523,X24429XS,BOXED X 3  ERR = STOM(MAG),0,2.55,Z,15.881,16.267,,SN 2019EIN,,STD,,,,
2458624.41044,14.103,0.008,,V,BDG,,ENSEMBLE,UCAC4 652-053507,AAVSO X24423IF,MEAN OF 6 OBS,0,1.021,Z,,15.871,,SN 2019EIN,BAA-VSS,STD,1,,,
2458624.42600,14.11,,,V,NRNA,,000-BNC-522,,X224429EG,,0,,Z,14.06,,,SN 2019EIN,AAVSO,STD,,,,
2458624.44009,14.03,,,R,NRNA,,000-BNC-522,,X224429EG,,0,,Z,14.06,,,SN 2019EIN,AAVSO,STD,,,,
2458624.45419,14.20,,,SG,NRNA,,000-BNC-522,,X224429EG,,0,,Z,14.06,,,SN 2019EIN,AAVSO,STD,,,,
2458624.49626,14.11,,,SR,NRNA,,000-BNC-522,,X224429EG,,0,,Z,14.06,,,SN 2019EIN,AAVSO,STD,,,,
2458624.51044,14.81,,,SI,NRNA,,000-BNC-522,,X224429EG,,0,,Z,14.06,,,SN 2019EIN,AAVSO,STD,,,,
2458624.580067,14.165,0.011,,CV,CDK,,ENSEMBLE,,X24429ABS,STACKED BY 5,0,1.063,Z,,,,SN 2019EIN,AAVSO,STD,,,,
2458624.583752,14.174,0.011,,CV,CDK,,ENSEMBLE,,X24429ABS,STACKED BY 5,0,1.055,Z,,,,SN 2019EIN,AAVSO,STD,,,,
2458624.587394,14.176,0.011,,CV,CDK,,ENSEMBLE,,X24429ABS,STACKED BY 5,0,1.048,Z,,,,SN 2019EIN,AAVSO,STD,,,,
2458624.591403,14.157,0.010,,CV,CDK,,ENSEMBLE,,X24429ABS,STACKED BY 6,0,1.042,Z,,,,SN 2019EIN,AAVSO,STD,,,,
2458624.59377,14.091,0.008,,V,DEY,,000-BNC-522,,X24460JE,NSU RRRT (FAN MTN. OBS) 24-INCH 120S,0,1.2,Z,-12.125,,,SN 2019ein,AAVSO,STD,,,,
2458625.49514,14.3,,,Vis.,TYS,K,143,153,X24423KK,"""VISUAL FROM SLOOH DIGITAL IMAGE, TRI-G. COMP MAGS FROM WIKISKY.""",,,Z,,,,SN 2019EIN,AAVSO,STD,,,,
2458625.587633,14.131,0.020,,V,CDK,,ENSEMBLE,,X244295JH,,0,1.043,Z,,,,SN 2019EIN,AAVSO,STD,,,,
2458625.588399,14.136,0.019,,V,CDK,,ENSEMBLE,,X244295JH,,0,1.042,Z,,,,SN 2019EIN,AAVSO,STD,,,,
2458625.589123,14.133,0.019,,V,CDK,,ENSEMBLE,,X244295JH,,0,1.041,Z,,,,SN 2019EIN,AAVSO,STD,,,,
2458625.590711,14.135,0.013,,V,CDK,,ENSEMBLE,,X244295JH,,0,1.039,Z,,,,SN 2019EIN,AAVSO,STD,,,,
2458625.592173,14.136,0.013,,V,CDK,,ENSEMBLE,,X244295JH,,0,1.037,Z,,,,SN 2019EIN,AAVSO,STD,,,,
2458625.59250,14.154,0.011,,V,DEY,,000-BNC-522,,X24460JE,NSU RRRT (FAN MTN. OBS) 24-INCH 120S,0,1.2,Z,-11.163,,,SN 2019ein,AAVSO,STD,,,,
2458625.593633,14.129,0.013,,V,CDK,,ENSEMBLE,,X244295JH,,0,1.035,Z,,,,SN 2019EIN,AAVSO,STD,,,,
2458625.595098,14.096,0.013,,V,CDK,,ENSEMBLE,,X244295JH,,0,1.033,Z,,,,SN 2019EIN,AAVSO,STD,,,,
2458625.596559,14.128,0.012,,V,CDK,,ENSEMBLE,,X244295JH,,0,1.032,Z,,,,SN 2019EIN,AAVSO,STD,,,,
2458625.598019,14.116,0.013,,V,CDK,,ENSEMBLE,,X244295JH,,0,1.030,Z,,,,SN 2019EIN,AAVSO,STD,,,,
2458625.59813,14.446,0.088,,B,CDZ,,000-BNC-522,000-BNC-523,X24431O,,0,1.454,Z,-4.658,-4.187,,SN 2019EIN,AAVSO,STD,,,,
2458625.599482,14.125,0.013,,V,CDK,,ENSEMBLE,,X244295JH,,0,1.028,Z,,,,SN 2019EIN,AAVSO,STD,,,,
2458625.600942,14.123,0.013,,V,CDK,,ENSEMBLE,,X244295JH,,0,1.026,Z,,,,SN 2019EIN,AAVSO,STD,,,,
2458625.60115,14.122,0.036,,V,CDZ,,000-BNC-522,000-BNC-523,X24431O,,0,1.475,Z,-5.895,-5.657,,SN 2019EIN,AAVSO,STD,,,,
2458625.602402,14.130,0.012,,V,CDK,,ENSEMBLE,,X244295JH,,0,1.025,Z,,,,SN 2019EIN,AAVSO,STD,,,,
2458625.603862,14.127,0.013,,V,CDK,,ENSEMBLE,,X244295JH,,0,1.023,Z,,,,SN 2019EIN,AAVSO,STD,,,,
2458625.60416,14.054,0.027,,R,CDZ,,000-BNC-522,000-BNC-523,X24431O,,0,1.497,Z,-6.435,-6.280,,SN 2019EIN,AAVSO,STD,,,,
2458625.61010,14.295,0.072,,I,CDZ,,000-BNC-522,000-BNC-523,X24431O,,0,1.542,Z,-5.559,-5.481,,SN 2019EIN,AAVSO,STD,,,,
2458626.36339,14.163,0.020,,V,ATE,,143,146,X24429EG,,0,1.046,Z,,14.546,2458626.36567,SN 2019EIN,AAVSO,STD,,,,
